MOLD,DISC TYPE,SPEED,GLIDE,TURN,FADE,STABILITY,DIAMETER (cm),HEIGHT (cm),RIM DEPTH (cm),RIM WIDTH (cm),INSIDE RIM DIAMETER (cm),RIM DEPTH / DIAMETER RATION (%),RIM CONFIGURATION,BEAD
"Talon
",Control Driver,8,3,1,3,4,21,1.5,1.1,1.8,17.5,5.2,28.25,No
"TeeBird3
",Control Driver,8,4,0,2,2,21.2,1.7,1.1,1.8,17.5,5.2,29.25,No
"Terra
",Control Driver,8,5,0,3,3,21.2,1.8,1.2,1.9,17.4,5.7,32.75,No
"The Count
",Control Driver,8,4,-1,2,1,21.5,1.7,1.1,1.4,18.7,5.1,35.5,No
"The Dome
",Control Driver,8,6,-3,1,-2,21.1,1.8,1.1,1.9,17.2,5.2,36,No
"Thief
",Control Driver,8,5,-1.5,2,0.5,21.2,1.8,1.1,1.9,17.3,5.2,34.25,No
"Tiyanak
",Control Driver,8,5,-5,1,-4,21.2,2,1.2,2,17.3,5.7,33.75,No
"TL3
",Control Driver,8,4,-1,1,0,21.2,1.7,1.1,1.8,17.6,5.2,33,No
"Tracker
",Control Driver,8,5,-1,3,2,21.2,1.7,1.2,1.8,17.7,5.7,32.5,No
"Trance
",Control Driver,8,5,-2,1,-1,21,1.8,1.2,1.9,17.1,5.7,41.25,No
"Vein
",Control Driver,8,4,0,2,2,21.3,1.9,1.3,1.8,17.4,6.1,27.75,No
"Vigil
",Control Driver,8,6,-2,2,0,21.7,1.5,1.1,1.9,17.9,5.1,32.5,No
"Vision
",Control Driver,8,6,-1,2,1,21.1,1.9,1.1,1.8,17.4,5.2,33,No
"Volt
",Control Driver,8,5,-0.5,2,1.5,21.1,1.6,1.1,2,17.1,5.2,28.25,No
"Witness
",Control Driver,8,6,-3,1,-2,21.1,1.8,1.1,1.9,17.3,5.2,32.25,No
"Xpress
",Control Driver,8,5,-3,1,-2,21.1,1.8,1.2,1.7,17.6,5.7,28,No
"XS
",Control Driver,8,5,0,3,3,21.1,1.8,1.2,1.8,17.6,5.7,27.5,No
"Chameleon
",Control Driver,8.5,5,-1,2,1,21.2,1.8,1.1,2,17.1,5.2,39.75,No
"Ahti
",Control Driver,9,3,0,4,4,21.2,1.7,1.1,2,17.2,5.2,28.75,No
"Assassin
",Control Driver,9,6,-1,1,0,21,1.9,1.1,1.9,17.1,5.2,34.5,No
"Bandit
",Control Driver,9,5,-2,1,-1,21.3,1.5,1.1,2,17.3,5.2,30.75,No
"Bi
",Control Driver,9,5,-1,2,1,21.2,1.7,1.2,1.9,17.3,5.7,28.75,No
"Blade
",Control Driver,9,5,0,3,3,21.3,1.5,1.1,2,17.3,5.2,34,No
"Bryce
",Control Driver,9,6,-2,2,0,21.2,1.7,1.1,2,17.2,5.2,28.25,No
"Buffalo
",Distance Driver,9,4,-1,5,4,21,1.6,1.2,2,17,5.7,34,No
"Captain Raptor
",Distance Driver,9,3,1,4,5,21.2,1.6,1.2,1.9,17.4,5.7,30.25,No
"CD1
",Control Driver,9,5,-1,2,1,21.2,1.7,1.1,1.9,17.3,5.2,31.25,No
"CD2
",Control Driver,9,5,-1,2,1,21.1,1.9,1.1,1.9,17.2,5.2,30,No
"Chromium
",Control Driver,9,5,-1,1,0,21.1,2,1.2,2,17.2,5.7,31.25,No
"Chupacabra
",Control Driver,9,3,0,4,4,21.2,1.6,1.2,2,17.2,5.7,30.5,No
"Cinnamon
",Control Driver,9,5,-1,2,1,21.1,1.6,1.2,2,17.1,5.7,30.5,No
"Coalesce
",Control Driver,9,5,0,3,3,21.2,1.9,1.2,1.9,17.4,5.7,32.5,No
"Convict
",Control Driver,9,4,-0.5,3,2.5,21.2,1.4,1.1,2,17.2,5.2,34.75,No
"Culverin
",Control Driver,9,5,-0.5,3,2.5,21.2,2,1.1,2,17,5.2,31.25,No
"Diablo
",Distance Driver,9,5,0,2,2,21.2,1.7,1.2,2,17.1,5.7,32.5,No
"Diamondback
",Control Driver,9,5,-2,2,0,21.3,1.6,1.1,2.1,17.1,5.2,31.25,No
"Draco
",Control Driver,9,3,0,4,4,21.2,1.4,1.2,1.9,17.3,5.7,35.5,No
"Drifter
",Control Driver,9,4,-1,2,1,21.1,1.7,1.2,1.9,17.3,5.7,27,No
"Dynasty
",Control Driver,9,5,-1,2,1,21.1,1.4,1.1,1.9,17.3,5.2,31.25,No
"Enemy
",Control Driver,9,3,0,4,4,21.1,1.9,1.2,1.9,17.2,5.7,32.5,No
"Escape
",Control Driver,9,5,-1,2,1,21.1,2,1.1,2,17.1,5.2,27.75,No
"Falk
",Control Driver,9,6,-2,1,-1,21.1,1.8,1.1,1.9,17.2,5.2,30.25,No
"FD3
",Control Driver,9,4,0,3,3,21.3,1.7,1.1,2,17.3,5.2,33.25,No
"Felon
",Control Driver,9,3,0.5,4,4.5,21.2,1.8,1.1,2,17.2,5.2,31.5,No
"Fireball
",Distance Driver,9,3.5,0,3.5,3.5,21.1,1.4,1.1,2,17.1,5.2,29.5,No
"Firebird
",Control Driver,9,3,0,4,4,21.1,1.4,1.2,1.9,17.3,5.7,26.75,No
"FL
",Control Driver,9,3,0,2,2,21.1,1.7,1.2,1.9,17.3,5.7,29.25,No
"Flare
",Distance Driver,9,4,0,3.5,3.5,21.2,1.8,1.2,2,17.2,5.7,29.5,No
"Flipperi
",Control Driver,9,3,-3,0,-3,21.2,1.7,1.2,2,17.2,5.7,26,No
"Fury
",Control Driver,9,6,-2,2,0,21.2,1.8,1.1,1.9,17.4,5.2,36.75,No
"FX-2
",Control Driver,9,4,-1,3,2,21.1,1.6,1.2,2,17.1,5.7,29.25,No
"FX-3
",Control Driver,9,4,-1.5,2,0.5,21.2,1.8,1.2,1.9,17.3,5.7,29.25,No
"FX-4
",Control Driver,9,5,-2,1,-1,21.2,1.8,1.2,2,17.3,5.7,32.25,No
"Getaway
",Control Driver,9,5,-0.5,3,2.5,21.1,1.8,1.1,2,17.1,5.2,28.75,No
"Ginger
",Control Driver,9,4,0,2,2,21.4,1.7,1.3,1.9,17.6,6.1,26.5,No
"Grunt
",Control Driver,9,5,-1,2,1,21,1.7,1.2,2,17,5.7,32.25,No
"H2
",Control Driver,9,5,0,2,2,21.3,1.7,1.2,1.9,17.5,5.6,30.75,No
"H3
",Control Driver,9,4,0,2,2,21.3,1.7,1.2,2,17.3,5.6,34.5,No
"H4
",Control Driver,9,5,-2,1.5,-0.5,21.3,1.8,1.2,1.9,17.4,5.6,41.75,No
"H5
",Control Driver,9,5,-3,1,-2,21.3,1.7,1.2,2,17.4,5.6,37.5,No
"H7
",Control Driver,9,5,-4,1,-3,21.1,2,1.1,1.9,17.2,5.2,31.25,No
"Hatchet
",Control Driver,9,6,-2,1,-1,21.3,2,1.2,1.9,17.6,5.6,27,No
"Haymaker
",Control Driver,9,4,0,4,4,21.2,1.8,1.2,2,17.2,5.7,31.5,No
"Heat
",Control Driver,9,6,-3,1,-2,21.1,2.1,1.2,1.9,17.2,5.7,29.5,No
"Honor
",Control Driver,9,5,0,2.5,2.5,21.2,1.8,1.1,1.9,17.4,5.2,31.75,No
"Hu
",Control Driver,9,5,-2,2,0,21.2,1.8,1.1,1.9,17.4,5.2,31.75,No
"Hyena
",Control Driver,9,5,-2,2,0,21.3,1.7,1.1,1.9,17.5,5.2,30.5,No
"Impulse
",Distance Driver,9,5,-3,1,-2,21,1.4,1.2,2,17,5.7,28.75,No
"Inertia
",Distance Driver,9,5,-2,2,0,21.1,1.4,1.2,2,17.1,5.7,27.25,No
"Insanity
",Control Driver,9,5,-2,1.5,-0.5,21.1,1.4,1.1,2,17,5.2,27,No
"Jade
",Control Driver,9,6,-2,1,-1,21,1.8,1.1,1.9,17.3,5.2,30,No
"Komodo
",Control Driver,9,3,0,3,3,21.2,2,1.1,2,17.2,5.2,29.25,Yes
"Lariat
",Control Driver,9,5,-1,1,0,21.1,1.7,1.1,2,17.1,5.2,30.5,No
"Lift
",Distance Driver,9,5,-2,1.5,-0.5,21.2,1.7,1.2,2,17.2,5.7,28,No
"Locust
",Distance Driver,9,4,-1,3,2,21.2,1.6,1.1,2,17.2,5.2,29.75,No
"Longbowman
",Control Driver,9,4,0,3,3,21.3,1.6,1.1,1.8,17.7,5.2,36,No
"Lots
",Control Driver,9,5,-1,2,1,21.1,1.5,1.1,1.9,17.3,5.2,29.5,No
"Mad Cat
",Control Driver,9,5,0,2,2,21.2,1.8,1.2,1.9,17.4,5.7,30,No
"Mammoth
",Control Driver,9,4,-1,5,4,21.1,1.7,1.2,2,17.1,5.7,29.25,No
"Mantra
",Control Driver,9,6,-2,1,-1,21.2,1.7,1.2,2,17.1,5.7,32,No
"Marksman
",Control Driver,9,4,-1,2,1,21.1,1.6,1.2,1.9,17.2,5.7,29,No
"Mongoose
",Control Driver,9,5,-3,1,-2,21.3,1.5,1.1,2,17.3,5.2,30.5,No
"Motion
",Distance Driver,9,3.5,0,4,4,21,1.4,1.2,2,17,5.7,30.25,No
"MX1
",Control Driver,9,4,-2,3,1,21.3,1.7,1.1,2.1,17.1,5.2,33.25,No
"Obsidian Tremor
",Distance Driver,9,4,0,3.5,3.5,21.2,1.6,1.2,2,17.2,5.7,29.25,No
"Ogopogo
",Control Driver,9,4,-2,5,3,21.1,1.5,1.2,2,17.1,5.7,36.75,No
"Omen
",Control Driver,9,4,0,4,4,21.2,1.7,1.2,2,17.2,5.7,28.25,No
"Orion LF
",Control Driver,9,5,-1,2,1,21.1,1.5,1.2,1.9,17.4,5.7,27.25,No
"Orion LS
",Control Driver,9,4,-1,1,0,21.1,1.4,1.2,1.9,17.3,5.7,32.25,No
"Pekapeka
",Control Driver,9,5,-3,1,-2,21.2,1.5,1.1,2,17.2,5.2,28.75,No
"Phoenix
",Control Driver,9,3,0,4,4,21.2,1.7,1.2,2,17.2,5.7,26.75,No
"Pioneer
",Control Driver,9,3,0,4,4,21.2,1.5,1.2,1.9,17.3,5.7,27,No
"Polaris LF
",Distance Driver,9,5,-2,2.5,0.5,21.1,1.9,1.1,1.6,17.9,5.2,28.5,No
"Predator
",Control Driver,9,4,1,4,5,21.2,1.9,1.1,1.9,17.4,5.2,28.5,No
"Pretty Fly
",Control Driver,9,6,-1,2,1,21.3,1.6,1.2,1.9,17.6,5.6,28.5,No
"Primitus
",Control Driver,9,5,0,2,2,21,2.3,1.2,2,17,5.7,27,No
"Raptor
",Control Driver,9,4,0,3,3,21.3,1.9,1.1,1.9,17.4,5.2,27.25,No
"Riptide
",Distance Driver,9,4,0,3,3,21.4,1.7,1.2,2,17.4,5.6,27.5,No
"Roadrunner
",Control Driver,9,5,-4,1,-3,21.1,1.4,1.2,1.8,17.5,5.7,29,No
"Rocket
",Control Driver,9,4,0,3,3,21.2,1.7,1.3,1.9,17.3,6.1,30,No
"Sabertooth
",Control Driver,9,4,0,5,5,21,1.8,1.2,2,17,5.7,29,No
"Saint
",Control Driver,9,7,-1,2,1,21.2,1.9,1.2,1.9,17.4,5.7,29.25,No
"Savant
",Control Driver,9,5,-1,2,1,21.1,1.6,1.1,1.9,17.2,5.2,36.5,No
"Scepter
",Control Driver,9,4,0,4,4,21.2,1.4,1.1,1.9,17.3,5.2,28.25,No
"Shadowfax
",Control Driver,9,5,-2,1.5,-0.5,21.1,1.8,1.1,2,17.2,5.2,33,No
"Sidewinder
",Control Driver,9,5,-3,1,-2,21.1,1.4,1.2,1.8,17.5,5.7,28,No
"Spartan
",Control Driver,9,6,-2,1,-1,21.2,1.6,1.2,2.1,17,5.7,32.5,No
"Spear
",Control Driver,9,6,-2,1,-1,21.2,1.4,1.1,2,17.3,5.2,31.25,No
"Sphinx
",Control Driver,9,6,-3,1,-2,21.1,1.6,1.1,1.9,17.3,5.2,30.75,No
"Splice
",Control Driver,9,3,0,4,4,21.2,1.5,1.1,1.9,17.3,5.2,32.5,No
"SPZ3
",Distance Driver,9,6,-2,2,0,21.1,1.8,1.2,1.9,17.3,5.7,31.25,No
"Stal
",Control Driver,9,4,0,3,3,21.1,1.8,1.1,1.9,17.3,5.2,30.5,No
"Stratosphere
",Control Driver,9,4,-2,1,-1,21.2,1.9,1.3,1.9,17.4,6.1,28.75,No
"Supreme Escape
",Control Driver,9,5,-1,2,1,21.1,1.7,1.1,2,17.2,5.2,32.5,No
"Suture
",Control Driver,9,5,-2,1,-1,21.2,1.8,1.1,1.9,17.4,5.2,31.75,No
"Swift
",Control Driver,9,5,-3,1,-2,21,1.6,1.1,1.9,17.1,5.2,30,No
"Swift Fox
",Control Driver,9,5,-3,1,-2,21.1,1.7,1.2,1.8,17.6,5.7,27,No
"Tasmanian Devil
",Control Driver,9,4,0,2.5,2.5,21.2,1.8,1.1,2,17.3,5.2,28.75,No
"Tasmanian Devil V2
",Control Driver,9,4,0,4,4,21.2,1.8,1.1,2,17.2,5.2,30.75,No
"TDx
",Distance Driver,9,5,-3,1,-2,21.1,1.5,1.2,2,17.2,5.7,30.5,No
"Tesla
",Distance Driver,9,5,-1,2,1,21,1.4,1.2,2,17,5.7,26.5,No
"Thread
",Control Driver,9,5,-1,1,0,21.1,1.5,1.1,2,17.1,5.2,31.5,No
"Thunderbird
",Control Driver,9,5,0,2,2,21.2,1.6,1.1,1.9,17.3,5.2,31,No
"Tilt
",Control Driver,9,1,1,6,7,21.1,1.6,1.2,2,17.1,5.7,29.25,No
"Timberwolf
",Control Driver,9,6,-1,0,-1,21.1,1.6,1.2,1.8,17.5,5.7,27,No
"Traveler
",Distance Driver,9,4,0,2,2,21.1,1.7,1.2,1.9,17.3,5.7,28.75,No
"Tsunami
",Distance Driver,9,3,0,4,4,21.4,1.9,1.2,1.9,17.5,5.6,28.5,No
"Undertaker
",Control Driver,9,5,-1,2,1,21.1,1.8,1.1,1.9,17.5,5.2,30.75,No
"Valkyrie
",Control Driver,9,4,-2,2,0,21.1,1.4,1.2,1.9,17.3,5.7,26,No
"Vandal
",Control Driver,9,5,-1.5,2,0.5,21.2,1.7,1.1,1.9,17.4,5.2,36.25,No
"Velociraptor
",Control Driver,9,4,0,2.5,2.5,21,2,1.6,2,17,5.7,37,No
"Viking
",Control Driver,9,4,-1,2,1,21.2,1.4,1.1,1.9,17.4,5.2,30.75,No
"Virus
",Distance Driver,9,5,-3.5,1,-2.5,21.2,1.4,1.1,2,17,5.2,29.5,No
"Wolverine
",Control Driver,9,5,-2,2,0,21.2,1.8,1.2,1.8,17.5,5.7,27.5,No
"Wrath
",Control Driver,9,4.5,-0.5,2,1.5,21.1,1.4,1.1,2,17,5.2,30.25,No
"Xenon
",Control Driver,9,3,0,4,4,21.1,1.5,1.2,2,17.1,5.7,27,No
"Zion
",Control Driver,9,4,-0.5,3,2.5,21.2,1.7,1.1,2,17.2,5.2,28,No
"Anax
",Control Driver,10,6,0,3,3,21.4,1.7,1.2,1.9,17.5,5.6,29.75,No
"Apache
",Control Driver,10,6,0,2,2,21.3,1.8,1.2,1.9,17.4,5.6,28.5,No
"Avenger
",Distance Driver,10,5,0,3,3,21.2,1.7,1.2,1.9,17.4,5.7,26.25,No
"Avenger SS
",Distance Driver,10,5,-3,1,-2,21.4,1.8,1.2,1.9,17.6,5.6,29.25,No
"Aztec
",Distance Driver,10,5,-1,2,1,21.2,1.5,1.1,2.1,16.9,5.2,33,No
"Beast
",Distance Driver,10,5,-2,2,0,21.2,1.4,1.1,2,17.1,5.2,26.76,No
"Berserker
",Distance Driver,10,5,-3,2,-1,21.2,1.7,1.2,2.1,17,5.7,28.75,No
"CD
",Distance Driver,10,5,-1,2,1,21.2,1.3,1.1,1.9,17.3,5.2,28.5,No
"Cervini
",Control Driver,10,6,-3,1,-2,21.3,1.5,1.1,2,17.3,5.2,31,No
"Construct
",Distance Driver,10,6,-1,2,1,21.3,1.6,1.2,2,17.2,5.6,26.5,No
"Criminal
",Distance Driver,10,3,1,4,5,21.2,1.5,1.2,2.1,16.9,5.7,29,No
"Dystopia
",Distance Driver,10,5,-2,2,0,21.4,1.7,1.2,2.1,17.2,5.6,28.25,No
"Era
",Control Driver,10,5,-1,2,1,21.2,1.6,1.2,2,17.3,5.7,29,No
"F Model OS
",Control Driver,10,5,2,4,6,21.3,1.6,1.1,2.1,17.1,5.2,39,No
"F Model S
",Control Driver,10,5,1,3,4,21.3,1.4,1.1,2,17.2,5.2,30.25,No
"F Model US
",Control Driver,10,5,-2,1,-1,21.3,1.5,1.1,2.1,17.2,5.2,32,No
"Fenrir
",Distance Driver,10,4,0,3,3,21.3,1.8,1.1,2,17.3,5.2,29.75,No
"Fighter
",Control Driver,10,3,0,4,4,21.2,1.7,1.2,2,17.1,5.7,27.75,No
"Flash
",Distance Driver,10,5,-2,3,1,21.1,1.6,1.2,2.1,17,5.7,27.5,No
"Fortress
",Distance Driver,10,4,0,3,3,21.2,1.5,1.1,2,17.2,5.2,28,No
"Freetail
",Distance Driver,10,5,-4,1,-3,21.1,1.7,1.2,2,17.1,5.7,37.75,No
"H1
",Control Driver,10,3,0,3.5,3.5,21.3,1.8,1.2,1.9,17.4,5.6,31.75,No
"H4 V2
",Control Driver,10,5,-2,1.5,-0.5,21.3,1.5,1.2,2,17.4,5.6,29,No
"Hellfire
",Control Driver,10,3,0,5,5,21.1,1.6,1.2,2.2,16.7,5.7,29.25,No
"Invictus
",Distance Driver,10,4,0,3,3,21.2,1.5,1.2,2.1,16.9,5.7,29,No
"Kiwi
",Distance Driver,10,4,0,3,3,21.1,1.9,1.2,2.2,16.7,5.7,26,No
"Laseri
",Control Driver,10,4,-1,1,0,21.1,1.6,1.1,1.9,17.2,5.2,32.25,No
"Long
",Distance Driver,10,5,-1,2,1,21.3,1.6,1.2,2.1,17.1,5.6,35.25,No
"Lucky 13
",Distance Driver,10,5,-3,2,-1,21.1,1.5,1.1,2.1,16.9,5.2,26.75,No
"Monarch
",Distance Driver,10,5,-4,1,-3,21.1,1.6,1.2,2.1,17,5.7,30.75,No
"Monster
",Distance Driver,10,3,0,5,5,21.2,1.4,1.2,2,17.2,5.7,32.25,No
"Musket
",Distance Driver,10,5,-0.5,2,1.5,21.2,1.8,1.1,2,17.1,5.2,28.5,No
"Nemesis
",Distance Driver,10,6,-4,2,-2,21.3,1.5,1.1,2,17.3,5.2,29,No
"Nightjar
",Distance Driver,10,5,-0.5,2.5,2,21.3,1.7,1.3,2.1,17.1,6.1,26.25,No
"Ninja
",Distance Driver,10,6,-1,2,1,21.2,1.9,1.2,2,17.2,5.7,31.75,No
"Northman
",Distance Driver,10,5,-1,2,1,21.5,1.7,1.1,2,17.5,5.1,28.25,No
"Orc
",Distance Driver,10,4,-1,3,2,21.2,1.9,1.2,2,17.2,5.7,27,No
"PD
",Distance Driver,10,4,0,3,3,21.2,1.5,1.2,1.9,17.3,5.7,32,No
"Power Disc Phantom Sword
",Distance Driver,10,4,0,3,3,21.2,1.5,1.2,1.9,17.3,5.7,26.5,No
"Rage
",Distance Driver,10,5,-0.5,3.5,3,21.5,1.7,1.1,2.2,17.1,5.1,26.25,No
"Roman
",Distance Driver,10,4,0,3,3,21.2,1.5,1.2,1.9,17.3,5.7,27.25,No
"Rong
",Distance Driver,10,5,-3,1,-2,21.2,1.5,1.1,2.3,16.5,5.2,27.75,No
"Rumble
",Distance Driver,10,5,-1,2,1,21.2,1.7,1.2,2,17.1,5.7,33.75,No
"Sampo
",Distance Driver,10,4,-1,2,1,21.2,1.9,1.2,2.1,17,5.7,34.75,No
"Sapphire
",Distance Driver,10,6,-2,1.5,-0.5,21,1.7,1.2,2,17,5.7,29.5,No
"SL
",Distance Driver,10,5,-1,2,1,21.1,1.7,1.1,2,17.1,5.2,29,No
"Sleipner
",Distance Driver,10,4,-1,2,1,21.2,1.5,1.1,2.1,17,5.2,28.75,No
"Spice
",Distance Driver,10,4,0,4,4,21.1,2,1.2,2,17.2,5.7,31.5,No
"Starfire
",Distance Driver,10,4,0,3,3,21.2,1.4,1.1,2,17.2,5.2,29,No
"Taniwha
",Control Driver,10,5,-2,2,0,21.1,1.4,1.2,2,17.1,5.7,26.25,No
"Tara Iti
",Distance Driver,10,5,0,2,2,21.2,1.5,1.2,2.1,17,5.7,30,No
"TD
",Distance Driver,10,5,-2,1,-1,21.2,1.6,1.1,1.9,17.3,5.2,27.5,No
"TD2
",Distance Driver,10,5,-4,1,-3,21.1,1.6,1.1,2.1,16.9,5.2,30.25,No
"Titan
",Distance Driver,10,4,0,3,3,21.2,1.6,1.2,1.9,17.3,5.7,32.75,No
"Tumbleweed
",Distance Driver,10,6,-4,1,-3,21.3,1.7,1.1,2.2,16.8,5.2,28.5,No
"Undertow
",Distance Driver,10,4,-1,1,0,21.5,1.6,1.2,2.1,17.3,5.6,28.25,No
"Vengeance
",Distance Driver,10,5,0,2,2,21.2,1.7,1.2,2,17.2,5.7,33,No
"Vulture
",Control Driver,10,5,0,2,2,21.4,1.6,1.2,1.8,17.8,5.6,33.5,No
"Wei
",Distance Driver,10,5,-2.5,1.5,-1,21.1,1.7,1.1,2,17.1,5.2,30.25,No
"Zion Driver
",Distance Driver,10,4,-1,2,1,21.4,1.7,1.1,2.1,17.2,5.1,27,No
"Animus
",Distance Driver,10.5,4.5,-0.5,2.5,2,21.2,1.6,1.2,2.1,17,5.7,30,No
"Goliath
",Distance Driver,10.5,4.5,-1,2.5,1.5,21.2,1.6,1.2,2.1,17,5.7,31,No
"Archon
",Distance Driver,11,5,-2,2,0,21.1,1.7,1.2,2.3,16.6,5.7,28.25,No
"Aries
",Distance Driver,11,6,-4,2,-2,21.1,1.6,1.1,2.1,16.9,5.2,28,No
"Astra
",Distance Driver,11,5,-1,2,1,21.1,1.5,1.2,2.2,16.7,5.7,28.25,No
"Astra-X
",Distance Driver,11,5,0,4,4,21.1,1.5,1.2,2.2,16.7,5.7,28.25,No
"Boatman
",Distance Driver,11,5,0,2,2,21.4,1.9,1.3,2.2,17,6.1,29.5,No
"CD3
",Distance Driver,11,5,-1,2,1,21.1,2,1.2,2.1,16.9,5.7,31,No
"Cedar
",Distance Driver,11,5,0,3,3,21.5,1.7,1.1,2.2,17.1,5.1,27.25,No
"Crush
",Distance Driver,11,5,0,4,4,21.1,1.7,1.2,2.1,17,5.7,29,No
"Curl
",Distance Driver,11,6,-1,3,2,21.2,1.8,1.1,2.2,16.8,5.2,26.75,No
"Czar
",Distance Driver,11,5,-1,3,2,21.1,1.7,1.2,2.2,16.7,5.7,33.25,No
"DD
",Distance Driver,11,5,0,2,2,21.1,1.6,1.2,2.2,16.7,5.7,30.25,No
"DD1
",Distance Driver,11,5,-1,2,1,21.2,1.5,1.1,2.2,16.8,5.2,30.75,No
"Defy
",Distance Driver,11,5,-1,3,2,21.1,1.5,1.1,2.2,16.7,5.2,26,No
"Expedition
",Distance Driver,11,5,-2,1,-1,21,1.7,1.2,2.1,16.7,5.7,31.5,No
"Flow
",Distance Driver,11,6,-0.5,2,1.5,21.1,1.8,1.2,2.2,16.8,5.7,27.75,No
"Grace
",Distance Driver,11,6,-1,2,1,21.1,1.6,1.1,2.2,16.6,5.2,30.5,No
"H1 V2
",Control Driver,11,4,0,3,3,21.4,1.6,1.2,2,17.4,5.6,28,No
"H2 V2
",Control Driver,11,5,0,2.5,2.5,21.4,1.6,1.2,2,17.4,5.6,28,No
"H3 V2
",Control Driver,11,5,-1,2,1,21.3,1.8,1.2,2,17.3,5.6,30.75,Yes
"Jet
",Distance Driver,11,5,-3,2,-1,21.2,1.5,1.1,2.2,16.8,5.2,26.25,No
"Jun
",Distance Driver,11,5,-1,2,1,21.1,2,1.2,2.1,16.8,5.7,29.75,No
"Krait
",Distance Driver,11,5,-1,2,1,21.2,2.3,1.2,2.3,16.6,5.7,30.25,No
"Longhorn
",Distance Driver,11,4,-1,3,2,21.3,1.5,1.2,2.1,17,5.6,31,No
"Machete
",Distance Driver,11,4,0,4,4,21.1,1.6,1.1,2.1,16.8,5.2,30.5,No
"Maelstrom
",Distance Driver,11,5,-1,3,2,21.4,1.7,1.1,2.2,17.1,5.1,33.5,No
"Mamba
",Distance Driver,11,6,-5,1,-4,21.1,1.7,1.1,2.1,16.9,5.2,27.5,No
"Max
",Distance Driver,11,3,0,5,5,21.2,1.9,1.2,2.2,16.8,5.7,34,No
"Medusa
",Distance Driver,11,5,-2,2,0,21.2,1.5,1.1,2.1,17,5.2,29.25,No
"Mentor
",Distance Driver,11,5,-2,2,0,21.2,1.8,1.2,2.1,17.9,5.7,39.75,No
"Meteorite
",Distance Driver,11,3,-0.5,2,1.5,21.1,1.8,1.1,2.1,16.8,5.2,26,No
"Mystere
",Distance Driver,11,6,-2,2,0,21.1,1.6,1.1,2.1,16.9,5.2,31.5,No
"Napalm
",Distance Driver,11,5,-2,2,0,21.1,2,1.2,2.1,16.8,5.7,29.75,No
